#X,5965_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5965_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5966_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5966_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5967_ Scalar_ SUBCASE - DIRECT FREQUENCY 1,5967_ Scalar_ SUBCASE - DIRECT FREQUENCY 1
#Frequency(Hz),Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real,Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real,Pressure(mN/mm^2(kPa))_Imaginary,Pressure(mN/mm^2(kPa))_Real
702.000000,-0.537144,0.229307,-0.510943,0.218122,-0.507372,0.216597
704.000000,-0.539749,0.230689,-0.513271,0.219372,-0.509663,0.217830
706.000000,-0.542406,0.232087,-0.515647,0.220637,-0.512001,0.219078
708.000000,-0.545115,0.233504,-0.518070,0.221919,-0.514387,0.220341
710.000000,-0.547878,0.234938,-0.520543,0.223216,-0.516821,0.221620
712.000000,-0.550696,0.236391,-0.523066,0.224531,-0.519305,0.222916
714.000000,-0.553570,0.237862,-0.525641,0.225861,-0.521840,0.224228
716.000000,-0.556502,0.239353,-0.528268,0.227209,-0.524427,0.225557
718.000000,-0.559493,0.240863,-0.530948,0.228575,-0.527066,0.226903
720.000000,-0.562543,0.242393,-0.533684,0.229957,-0.529760,0.228267
722.000000,-0.565655,0.243942,-0.536475,0.231358,-0.532509,0.229648
724.000000,-0.568830,0.245512,-0.539324,0.232777,-0.535314,0.231047
726.000000,-0.572068,0.247103,-0.542231,0.234215,-0.538177,0.232464
728.000000,-0.575373,0.248715,-0.545198,0.235672,-0.541100,0.233900
730.000000,-0.578744,0.250349,-0.548226,0.237147,-0.544083,0.235355
732.000000,-0.582184,0.252004,-0.551318,0.238643,-0.547128,0.236829
734.000000,-0.585695,0.253682,-0.554473,0.240158,-0.550236,0.238323
736.000000,-0.589278,0.255382,-0.557694,0.241694,-0.553409,0.239837
738.000000,-0.592935,0.257105,-0.560983,0.243250,-0.556649,0.241371
740.000000,-0.596667,0.258852,-0.564340,0.244828,-0.559957,0.242926
742.000000,-0.600477,0.260623,-0.567768,0.246427,-0.563335,0.244502
744.000000,-0.604367,0.262418,-0.571269,0.248047,-0.566784,0.246100
